,0
0,0.009999999999999832
1,0.010162725450901635
2,0.010325651302605298
3,0.010528757515030197
4,0.01067545090180358
5,0.01082665330661318
6,0.010997094188376712
7,0.011133867735471073
8,0.011277154308617234
9,0.011421142284569016
10,0.011540180360721413
11,0.011642885771543167
12,0.011785270541082202
13,0.01188346693386767
14,0.012007715430861708
15,0.01209799599198399
16,0.012169739478957945
17,0.012242685370741472
18,0.012327655310621225
19,0.012414929859719434
20,0.01253537074148296
21,0.012616232464929865
22,0.012700200400801599
23,0.012776452905811616
24,0.012849098196392803
25,0.012923947895791574
26,0.012984969939879725
27,0.013062925851703383
28,0.013137775551102215
29,0.013198797595190399
30,0.01323176352705409
31,0.013285270541082165
32,0.013353807615230473
33,0.013400400801603218
34,0.013470641282565093
35,0.013529859719438868
36,0.013598797595190398
37,0.013643587174348696
38,0.013695190380761503
39,0.013736372745490987
40,0.013790180360721457
41,0.013839178356713422
42,0.013888777555110211
43,0.013955210420841673
44,0.014001703406813629
45,0.014055911823647283
46,0.014101603206412844
47,0.014142284569138285
48,0.014180360721442882
49,0.014242785571142284
50,0.01430090180360721
51,0.01433486973947895
52,0.014384569138276557
53,0.014436673346693378
54,0.014479959919839667
55,0.014523647294589147
56,0.014567334669338678
57,0.014602805611222427
58,0.014652204408817645
59,0.014700901803607204
60,0.014745390781563129
61,0.014783967935871722
62,0.014830561122244483
63,0.014862525050100208
64,0.01488366733466935
65,0.014914128256513021
66,0.014930460921843672
67,0.014963426853707404
68,0.014998196392785578
69,0.015020240480961919
70,0.015037274549098197
71,0.0150698396793587
72,0.015092484969939894
73,0.015120240480961939
74,0.015151202404809614
75,0.015187174348697388
76,0.015225851703406823
77,0.015252705410821651
78,0.01527845691382766
79,0.015307615230460921
80,0.015341282565130251
81,0.015382264529058085
82,0.015409018036072118
83,0.015435170340681365
84,0.015473947895791573
85,0.015499599198396774
86,0.015537274549098184
87,0.015557314629258523
88,0.01558226452905811
89,0.015615230460921831
90,0.015635571142284557
91,0.015665030060120242
92,0.0156926853707415
93,0.015717835671342675
94,0.015739078156312605
95,0.015748396793587166
96,0.015781963927855698
97,0.015800501002003982
98,0.01582034068136271
99,0.015844488977955918
100,0.015865430861723435
