,0
0,0.009999999999999832
1,0.010117735470941708
2,0.010310420841683475
3,0.010483667334669482
4,0.010635871743486904
5,0.010792084168336623
6,0.010946292585170454
7,0.011098496993988145
8,0.011248096192384692
9,0.01140110220440872
10,0.011539779559118342
11,0.011640480961923888
12,0.011754809619238424
13,0.011883166332665283
14,0.011980060120240513
15,0.012086372745490992
16,0.012190581162324637
17,0.012276352705410817
18,0.012362625250500997
19,0.012437775551102195
20,0.01254268537074147
21,0.012621943887775556
22,0.012690681362725442
23,0.012777855711422835
24,0.012852505010020039
25,0.012938677354709407
26,0.013020140280561115
27,0.013098096192384766
28,0.013141282565130263
29,0.01318997995991984
30,0.013235871743486964
31,0.013309619238476957
32,0.0133624248496994
33,0.013429659318637245
34,0.01348667334669338
35,0.013556412825651303
36,0.013623747494989959
37,0.013663827655310613
38,0.013720741482965919
39,0.013768236472945892
40,0.013817134268537064
41,0.013861422845691355
42,0.013921743486973956
43,0.01397505010020041
44,0.014037875751503
45,0.014072745490981952
46,0.01412464929859721
47,0.014163727454909814
48,0.014190280561122237
49,0.014203907815631247
50,0.014236773547094194
51,0.014261322645290566
52,0.014317034068136251
53,0.014359719438877752
54,0.014399799599198395
55,0.014455511022044076
56,0.014499999999999982
57,0.014554208416833664
58,0.014585871743486965
59,0.014617935871743488
60,0.01465501002004007
61,0.014699699398797582
62,0.014746292585170323
63,0.014783466933867725
64,0.014817434869739481
65,0.014847394789579133
66,0.014884869739478938
67,0.014916633266533051
68,0.014969038076152307
69,0.015002304609218425
70,0.015031563126252511
71,0.015049398797595193
72,0.015094388777555088
73,0.01512134268537072
74,0.015150300601202397
75,0.015175751503006004
76,0.015208617234468933
77,0.015239679358717435
78,0.015255210420841681
79,0.015286172344689382
80,0.015302204408817634
81,0.015353707414829646
82,0.015392084168336656
83,0.015422244488977953
84,0.015448797595190385
85,0.015458517034068132
86,0.015483767535070147
87,0.0155119238476954
88,0.015528356713426852
89,0.015548797595190381
90,0.015572845691382762
91,0.015601903807615218
92,0.015626553106212415
93,0.015636673346693372
94,0.0156639278557114
95,0.01568977955911824
96,0.015725250501002003
97,0.015747595190380756
98,0.015767535070140278
99,0.015779859719438863
100,0.015795791583166307
